Hospital_ID,race, Percent_Hospital , Percent_Region , Percent_State ,outcome,num_N,deno_N
10140,Black,1,0.96,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
10140,White,1,0.94,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,9,9
10140,Black,0.96,0.97,0.98,Early Antithrombotics (2 days),46,48
10140,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),1,1
10140,White,0.98,0.97,0.98,Early Antithrombotics (2 days),60,61
10140,Black,0.98,0.98,0.98,VTE Prophylaxis,48,49
10140,FL_Hispanic,1,0.99,0.98,VTE Prophylaxis,1,1
10140,White,1,0.98,0.97,VTE Prophylaxis,81,81
10140,Black,1,0.99,0.99,Antithrombotics at discharge,49,49
10140,FL_Hispanic,1,0.98,0.99,Antithrombotics at discharge,1,1
10140,White,0.98,0.99,0.99,Antithrombotics at discharge,64,65
10140,Black,1,0.95,0.97,Anticoagulation for AF at discharge,5,5
10140,White,0.92,0.97,0.97,Anticoagulation for AF at discharge,11,12
10140,Black,0.94,0.96,0.98,Statins at Discharge,34,36
10140,White,1,0.97,0.97,Statins at Discharge,40,40
10140,Black,1,0.99,0.97,Smoking Cessation Counseling,12,12
10140,White,1,0.99,0.98,Smoking Cessation Counseling,16,16
10140,Black,0.9,0.93,0.94,Defect Free Care,46,51
10140,FL_Hispanic,1,0.92,0.94,Defect Free Care,1,1
10140,White,0.96,0.93,0.93,Defect Free Care,79,82
10140,Black,0.5,0.28,0.46,Door To Needle Time Within 60 Minutes,1,2
10140,White,0.33,0.39,0.52,Door To Needle Time Within 60 Minutes,3,9
10140,Black,0.21,0.22,0.28,Door to CT Time Within 25 Minutes (All Strokes),10,48
10140,FL_Hispanic,1,0.22,0.36,Door to CT Time Within 25 Minutes (All Strokes),1,1
10140,White,0.23,0.34,0.36,Door to CT Time Within 25 Minutes (All Strokes),17,75
10140,Black,0.29,0.32,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,2,7
10140,White,0.57,0.31,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,12,21
10400,Black,1,0.96,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
10400,White,0.75,0.94,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,12,16
10400,Black,1,0.97,0.98,Early Antithrombotics (2 days),7,7
10400,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),11,11
10400,White,0.98,0.97,0.98,Early Antithrombotics (2 days),216,221
10400,Black,1,0.98,0.98,VTE Prophylaxis,8,8
10400,FL_Hispanic,0.91,0.99,0.98,VTE Prophylaxis,10,11
10400,White,0.99,0.98,0.97,VTE Prophylaxis,238,240
10400,Black,1,0.99,0.99,Antithrombotics at discharge,8,8
10400,FL_Hispanic,1,0.98,0.99,Antithrombotics at discharge,10,10
10400,White,1,0.99,0.99,Antithrombotics at discharge,207,207
10400,FL_Hispanic,1,1,0.98,Anticoagulation for AF at discharge,1,1
10400,White,0.98,0.97,0.97,Anticoagulation for AF at discharge,41,42
10400,Black,1,0.96,0.98,Statins at Discharge,7,7
10400,FL_Hispanic,1,0.96,0.98,Statins at Discharge,10,10
10400,White,1,0.97,0.97,Statins at Discharge,161,161
10400,Black,1,0.99,0.97,Smoking Cessation Counseling,4,4
10400,FL_Hispanic,1,1,0.97,Smoking Cessation Counseling,3,3
10400,White,1,0.99,0.98,Smoking Cessation Counseling,44,44
10400,Black,1,0.93,0.94,Defect Free Care,8,8
10400,FL_Hispanic,0.91,0.92,0.94,Defect Free Care,10,11
10400,White,0.95,0.93,0.93,Defect Free Care,229,240
10400,White,0.31,0.39,0.52,Door To Needle Time Within 60 Minutes,4,13
10400,Black,0.5,0.22,0.28,Door to CT Time Within 25 Minutes (All Strokes),3,6
10400,FL_Hispanic,0.55,0.22,0.36,Door to CT Time Within 25 Minutes (All Strokes),6,11
10400,White,0.39,0.34,0.36,Door to CT Time Within 25 Minutes (All Strokes),92,237
10400,Black,0.33,0.32,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,3
10400,White,0.22,0.31,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,13,60
10401,Black,1,0.96,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,3,3
10401,FL_Hispanic,1,0.94,0.97,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
10401,White,0.83,0.94,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,20,24
10401,Black,0.9,0.97,0.98,Early Antithrombotics (2 days),18,20
10401,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),13,13
10401,White,0.96,0.97,0.98,Early Antithrombotics (2 days),195,204
10401,Black,0.96,0.98,0.98,VTE Prophylaxis,23,24
10401,FL_Hispanic,0.93,0.99,0.98,VTE Prophylaxis,14,15
10401,White,0.97,0.98,0.97,VTE Prophylaxis,253,261
10401,Black,1,0.99,0.99,Antithrombotics at discharge,19,19
10401,FL_Hispanic,1,0.98,0.99,Antithrombotics at discharge,14,14
10401,White,1,0.99,0.99,Antithrombotics at discharge,225,226
10401,Black,1,0.95,0.97,Anticoagulation for AF at discharge,4,4
10401,FL_Hispanic,1,1,0.98,Anticoagulation for AF at discharge,2,2
10401,White,0.96,0.97,0.97,Anticoagulation for AF at discharge,49,51
10401,Black,0.85,0.96,0.98,Statins at Discharge,11,13
10401,FL_Hispanic,1,0.96,0.98,Statins at Discharge,11,11
10401,White,0.96,0.97,0.97,Statins at Discharge,161,168
10401,Black,1,0.99,0.97,Smoking Cessation Counseling,8,8
10401,FL_Hispanic,1,1,0.97,Smoking Cessation Counseling,2,2
10401,White,1,0.99,0.98,Smoking Cessation Counseling,45,45
10401,Black,0.79,0.93,0.94,Defect Free Care,19,24
10401,FL_Hispanic,0.93,0.92,0.94,Defect Free Care,14,15
10401,White,0.89,0.93,0.93,Defect Free Care,233,262
10401,Black,0.67,0.28,0.46,Door To Needle Time Within 60 Minutes,2,3
10401,White,0.29,0.39,0.52,Door To Needle Time Within 60 Minutes,7,24
10401,Black,0.35,0.22,0.28,Door to CT Time Within 25 Minutes (All Strokes),8,23
10401,FL_Hispanic,0.21,0.22,0.36,Door to CT Time Within 25 Minutes (All Strokes),3,14
10401,White,0.24,0.34,0.36,Door to CT Time Within 25 Minutes (All Strokes),54,226
10401,Black,0.38,0.32,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,3,8
10401,FL_Hispanic,0.33,0.33,0.43,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,3
10401,White,0.32,0.31,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,24,74
10720,Black,1,1,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
10720,White,1,0.89,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,18,18
10720,Black,0.98,0.99,0.98,Early Antithrombotics (2 days),44,45
10720,FL_Hispanic,1,1,0.97,Early Antithrombotics (2 days),1,1
10720,White,1,0.98,0.98,Early Antithrombotics (2 days),178,178
10720,Black,1,0.96,0.98,VTE Prophylaxis,48,48
10720,White,1,0.95,0.97,VTE Prophylaxis,196,196
10720,Black,1,0.98,0.99,Antithrombotics at discharge,42,42
10720,FL_Hispanic,1,0.95,0.99,Antithrombotics at discharge,1,1
10720,White,1,0.99,0.99,Antithrombotics at discharge,184,184
10720,Black,1,1,0.97,Anticoagulation for AF at discharge,1,1
10720,White,1,0.98,0.97,Anticoagulation for AF at discharge,21,21
10720,Black,1,0.95,0.98,Statins at Discharge,29,29
10720,FL_Hispanic,1,0.94,0.98,Statins at Discharge,1,1
10720,White,0.99,0.95,0.97,Statins at Discharge,132,133
10720,Black,1,0.96,0.97,Smoking Cessation Counseling,10,10
10720,White,1,0.99,0.98,Smoking Cessation Counseling,41,41
10720,Black,0.98,0.91,0.94,Defect Free Care,47,48
10720,FL_Hispanic,1,0.96,0.94,Defect Free Care,1,1
10720,White,1,0.91,0.93,Defect Free Care,201,202
10720,White,0.15,0.49,0.52,Door To Needle Time Within 60 Minutes,3,20
10720,Black,0.49,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),22,45
