Hospital_ID,sex, Percent_Hospital , Percent_Region , Percent_State ,outcome,num_N,deno_N
10140,Female,1,0.95,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
10140,Male,1,0.95,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,9,9
10140,Female,0.98,0.97,0.98,Early Antithrombotics (2 days),46,48
10140,Male,0.96,0.98,0.98,Early Antithrombotics (2 days),1,1
10140,Female,1,0.98,0.98,VTE Prophylaxis,60,61
10140,Male,0.98,0.97,0.98,VTE Prophylaxis,48,49
10140,Female,0.98,0.99,0.99,Antithrombotics at discharge,1,1
10140,Male,1,0.99,0.99,Antithrombotics at discharge,81,81
10140,Female,0.89,0.97,0.97,Anticoagulation for AF at discharge,49,49
10140,Male,1,0.98,0.97,Anticoagulation for AF at discharge,1,1
10140,Female,0.97,0.96,0.97,Statins at Discharge,64,65
10140,Male,0.98,0.98,0.98,Statins at Discharge,5,5
10140,Female,1,0.99,0.98,Smoking Cessation Counseling,11,12
10140,Male,1,0.99,0.97,Smoking Cessation Counseling,34,36
10140,Female,0.94,0.92,0.93,Defect Free Care,40,40
10140,Male,0.94,0.93,0.93,Defect Free Care,12,12
10140,Female,0.2,0.31,0.52,Door To Needle Time Within 60 Minutes,16,16
10140,Male,0.5,0.43,0.56,Door To Needle Time Within 60 Minutes,46,51
10140,Female,0.25,0.3,0.34,Door to CT Time Within 25 Minutes (All Strokes),1,1
10140,Male,0.2,0.34,0.35,Door to CT Time Within 25 Minutes (All Strokes),79,82
10140,Female,0.53,0.29,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,2
10140,Male,0.46,0.32,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,3,9
10400,Female,0.78,0.95,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,10,48
10400,Male,0.75,0.95,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
10400,Female,0.97,0.97,0.98,Early Antithrombotics (2 days),17,75
10400,Male,0.99,0.98,0.98,Early Antithrombotics (2 days),2,7
10400,Female,1,0.98,0.98,VTE Prophylaxis,12,21
10400,Male,0.98,0.97,0.98,VTE Prophylaxis,1,1
10400,Female,1,0.99,0.99,Antithrombotics at discharge,12,16
10400,Male,1,0.99,0.99,Antithrombotics at discharge,7,7
10400,Female,1,0.97,0.97,Anticoagulation for AF at discharge,11,11
10400,Male,0.95,0.98,0.97,Anticoagulation for AF at discharge,216,221
10400,Female,1,0.96,0.97,Statins at Discharge,8,8
10400,Male,1,0.98,0.98,Statins at Discharge,10,11
10400,Female,1,0.99,0.98,Smoking Cessation Counseling,238,240
10400,Male,1,0.99,0.97,Smoking Cessation Counseling,8,8
10400,Female,0.96,0.92,0.93,Defect Free Care,10,10
10400,Male,0.95,0.93,0.93,Defect Free Care,207,207
10400,Female,0.14,0.31,0.52,Door To Needle Time Within 60 Minutes,1,1
10400,Male,0.43,0.43,0.56,Door To Needle Time Within 60 Minutes,41,42
10400,Female,0.44,0.3,0.34,Door to CT Time Within 25 Minutes (All Strokes),7,7
10400,Male,0.36,0.34,0.35,Door to CT Time Within 25 Minutes (All Strokes),10,10
10400,Female,0.18,0.29,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,161,161
10400,Male,0.26,0.32,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,4,4
10401,Female,0.83,0.95,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,3,3
10401,Male,0.88,0.95,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,44,44
10401,Female,0.94,0.97,0.98,Early Antithrombotics (2 days),8,8
10401,Male,0.97,0.98,0.98,Early Antithrombotics (2 days),10,11
10401,Female,0.96,0.98,0.98,VTE Prophylaxis,229,240
10401,Male,0.97,0.97,0.98,VTE Prophylaxis,4,13
10401,Female,0.99,0.99,0.99,Antithrombotics at discharge,3,6
10401,Male,1,0.99,0.99,Antithrombotics at discharge,6,11
10401,Female,0.97,0.97,0.97,Anticoagulation for AF at discharge,92,237
10401,Male,0.96,0.98,0.97,Anticoagulation for AF at discharge,1,3
10401,Female,0.97,0.96,0.97,Statins at Discharge,13,60
10401,Male,0.93,0.98,0.98,Statins at Discharge,3,3
10401,Female,1,0.99,0.98,Smoking Cessation Counseling,1,1
10401,Male,1,0.99,0.97,Smoking Cessation Counseling,20,24
10401,Female,0.87,0.92,0.93,Defect Free Care,18,20
10401,Male,0.9,0.93,0.93,Defect Free Care,13,13
10401,Female,0.18,0.31,0.52,Door To Needle Time Within 60 Minutes,195,204
10401,Male,0.41,0.43,0.56,Door To Needle Time Within 60 Minutes,23,24
10401,Female,0.19,0.3,0.34,Door to CT Time Within 25 Minutes (All Strokes),14,15
10401,Male,0.31,0.34,0.35,Door to CT Time Within 25 Minutes (All Strokes),253,261
10401,Female,0.27,0.29,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,19,19
10401,Male,0.39,0.32,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,14,14
10720,Female,1,0.86,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,225,226
10720,Male,1,0.94,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,4,4
10720,Female,0.99,0.98,0.98,Early Antithrombotics (2 days),2,2
10720,Male,1,0.99,0.98,Early Antithrombotics (2 days),49,51
10720,Female,1,0.95,0.98,VTE Prophylaxis,11,13
10720,Male,1,0.96,0.98,VTE Prophylaxis,11,11
10720,Female,1,0.99,0.99,Antithrombotics at discharge,161,168
10720,Male,1,0.99,0.99,Antithrombotics at discharge,8,8
10720,Female,1,0.97,0.97,Anticoagulation for AF at discharge,2,2
10720,Male,1,0.99,0.97,Anticoagulation for AF at discharge,45,45
10720,Female,1,0.95,0.97,Statins at Discharge,19,24
10720,Male,0.99,0.96,0.98,Statins at Discharge,14,15
10720,Female,1,0.98,0.98,Smoking Cessation Counseling,233,262
10720,Male,1,0.99,0.97,Smoking Cessation Counseling,2,3
10720,Female,0.99,0.9,0.93,Defect Free Care,7,24
10720,Male,0.99,0.92,0.93,Defect Free Care,8,23
10720,Female,0.14,0.41,0.52,Door To Needle Time Within 60 Minutes,3,14
10720,Male,0.12,0.53,0.56,Door To Needle Time Within 60 Minutes,54,226
10720,Female,0.59,0.38,0.34,Door to CT Time Within 25 Minutes (All Strokes),3,8
10720,Male,0.51,0.38,0.35,Door to CT Time Within 25 Minutes (All Strokes),1,3
10720,Female,0.15,0.38,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,24,74
10720,Male,0.36,0.48,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,1
13705,Female,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,18,18
13705,Male,1,0.97,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,44,45
13705,Female,0.96,0.98,0.98,Early Antithrombotics (2 days),1,1
13705,Male,1,0.97,0.98,Early Antithrombotics (2 days),178,178
13705,Female,0.97,0.97,0.98,VTE Prophylaxis,48,48
13705,Male,1,0.97,0.98,VTE Prophylaxis,196,196
13705,Female,1,0.99,0.99,Antithrombotics at discharge,42,42
13705,Male,1,0.99,0.99,Antithrombotics at discharge,1,1
13705,Female,0.86,0.97,0.97,Anticoagulation for AF at discharge,184,184
13705,Male,1,0.97,0.97,Anticoagulation for AF at discharge,1,1
13705,Female,1,0.98,0.97,Statins at Discharge,21,21
13705,Male,1,0.99,0.98,Statins at Discharge,29,29
13705,Female,1,0.97,0.98,Smoking Cessation Counseling,1,1
13705,Male,1,0.98,0.97,Smoking Cessation Counseling,132,133
13705,Female,0.94,0.94,0.93,Defect Free Care,10,10
13705,Male,1,0.94,0.93,Defect Free Care,41,41
13705,Female,0.17,0.68,0.52,Door To Needle Time Within 60 Minutes,47,48
13705,Male,0.75,0.66,0.56,Door To Needle Time Within 60 Minutes,1,1
13705,Female,0.53,0.42,0.34,Door to CT Time Within 25 Minutes (All Strokes),201,202
13705,Male,0.5,0.42,0.35,Door to CT Time Within 25 Minutes (All Strokes),3,20
13705,Female,0.6,0.46,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,22,45
13705,Male,0.67,0.42,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,112,197
13710,Female,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,4,12
13710,Male,1,0.97,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,20,81
13710,Female,0.9,0.98,0.98,Early Antithrombotics (2 days),3,3
13710,Male,0.92,0.97,0.98,Early Antithrombotics (2 days),5,5
13710,Female,0.98,0.97,0.98,VTE Prophylaxis,18,18
13710,Male,0.96,0.97,0.98,VTE Prophylaxis,2,2
13710,Female,0.98,0.99,0.99,Antithrombotics at discharge,29,30
13710,Male,0.98,0.99,0.99,Antithrombotics at discharge,21,21
13710,Female,1,0.97,0.97,Anticoagulation for AF at discharge,2,2
13710,Male,1,0.97,0.97,Anticoagulation for AF at discharge,43,44
13710,Female,0.98,0.98,0.97,Statins at Discharge,16,16
13710,Male,0.98,0.99,0.98,Statins at Discharge,1,1
13710,Female,0.67,0.97,0.98,Smoking Cessation Counseling,35,35
13710,Male,1,0.98,0.97,Smoking Cessation Counseling,4,4
13710,Female,0.83,0.94,0.93,Defect Free Care,5,6
13710,Male,0.89,0.94,0.93,Defect Free Care,12,12
13710,Female,0.33,0.68,0.52,Door To Needle Time Within 60 Minutes,1,1
13710,Male,0.2,0.66,0.56,Door To Needle Time Within 60 Minutes,23,23
13710,Female,0.49,0.42,0.34,Door to CT Time Within 25 Minutes (All Strokes),1,1
13710,Male,0.4,0.42,0.35,Door to CT Time Within 25 Minutes (All Strokes),1,1
13710,Female,0.23,0.46,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,7,7
13710,Male,0.42,0.42,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,22,22
13732,Female,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,2,2
13732,Male,0.94,0.97,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,42,44
13732,Female,0.99,0.98,0.98,Early Antithrombotics (2 days),1,4
13732,Male,1,0.97,0.98,Early Antithrombotics (2 days),3,6
13732,Female,0.99,0.97,0.98,VTE Prophylaxis,13,21
13732,Male,1,0.97,0.98,VTE Prophylaxis,1,2
13732,Female,0.98,0.99,0.99,Antithrombotics at discharge,20,43
13732,Male,1,0.99,0.99,Antithrombotics at discharge,4,6
13732,Female,1,0.97,0.97,Anticoagulation for AF at discharge,6,10
13732,Male,1,0.97,0.97,Anticoagulation for AF at discharge,1,1
13732,Female,0.98,0.98,0.97,Statins at Discharge,3,3
13732,Male,1,0.99,0.98,Statins at Discharge,5,7
13732,Female,1,0.97,0.98,Smoking Cessation Counseling,97,105
13732,Male,1,0.98,0.97,Smoking Cessation Counseling,8,9
13732,Female,0.97,0.94,0.93,Defect Free Care,10,10
13732,Male,0.99,0.94,0.93,Defect Free Care,114,117
13732,Female,0.44,0.68,0.52,Door To Needle Time Within 60 Minutes,8,9
13732,Male,0.83,0.66,0.56,Door To Needle Time Within 60 Minutes,9,10
13732,Female,0.65,0.42,0.34,Door to CT Time Within 25 Minutes (All Strokes),90,91
13732,Male,0.71,0.42,0.35,Door to CT Time Within 25 Minutes (All Strokes),7,7
13732,Female,0.4,0.46,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,1
13732,Male,0.6,0.42,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,10,10
13742,Female,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,8,8
13742,Male,0.83,0.97,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,78,80
13742,Female,0.97,0.98,0.98,Early Antithrombotics (2 days),5,5
13742,Male,0.97,0.97,0.98,Early Antithrombotics (2 days),4,5
13742,Female,1,0.97,0.98,VTE Prophylaxis,19,21
13742,Male,0.98,0.97,0.98,VTE Prophylaxis,1,1
13742,Female,1,0.99,0.99,Antithrombotics at discharge,6,10
13742,Male,1,0.99,0.99,Antithrombotics at discharge,104,118
13742,Female,1,0.97,0.97,Anticoagulation for AF at discharge,8,9
13742,Male,1,0.97,0.97,Anticoagulation for AF at discharge,1,2
13742,Female,1,0.98,0.97,Statins at Discharge,1,6
13742,Male,1,0.99,0.98,Statins at Discharge,4,9
13742,Female,1,0.97,0.98,Smoking Cessation Counseling,44,95
13742,Male,1,0.98,0.97,Smoking Cessation Counseling,2,8
13742,Female,0.98,0.94,0.93,Defect Free Care,2,3
13742,Male,0.93,0.94,0.93,Defect Free Care,6,20
13742,Female,1,0.68,0.52,Door To Needle Time Within 60 Minutes,16,16
13742,Male,0.4,0.66,0.56,Door To Needle Time Within 60 Minutes,14,15
13742,Female,0.66,0.42,0.34,Door to CT Time Within 25 Minutes (All Strokes),84,84
13742,Male,0.55,0.42,0.35,Door to CT Time Within 25 Minutes (All Strokes),11,11
13742,Female,0.42,0.46,0.38,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,76,77
13742,Male,0.25,0.42,0.4,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,115,115
13779,Female,0.5,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,12,12
13779,Male,1,0.97,0.95,rtPA Arrive by 2 hour and Treat by 3 hour,116,117
13779,Female,0.98,0.98,0.98,Early Antithrombotics (2 days),92,94
13779,Male,1,0.97,0.98,Early Antithrombotics (2 days),11,11
13779,Female,1,0.97,0.98,VTE Prophylaxis,82,82
13779,Male,0.98,0.97,0.98,VTE Prophylaxis,9,9
13779,Female,1,0.99,0.99,Antithrombotics at discharge,2,2
