Hospital_ID,race,Percent_Hospital,Percent_Region,Percent_State,outcome,Region
10140,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10140,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10140,Black,96%,97%,98%,Early Antithrombotics (2 days),West Central
10140,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
10140,White,98%,97%,98%,Early Antithrombotics (2 days),West Central
10140,Black,98%,98%,98%,VTE Prophylaxis,West Central
10140,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
10140,White,100%,98%,97%,VTE Prophylaxis,West Central
10140,Black,100%,99%,99%,Antithrombotics at discharge,West Central
10140,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
10140,White,98%,99%,99%,Antithrombotics at discharge,West Central
10140,Black,100%,95%,97%,Anticoagulation for AF at discharge,West Central
10140,White,92%,97%,97%,Anticoagulation for AF at discharge,West Central
10140,Black,94%,96%,98%,Statins at Discharge,West Central
10140,White,100%,97%,97%,Statins at Discharge,West Central
10140,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
10140,White,100%,99%,98%,Smoking Cessation Counseling,West Central
10140,Black,90%,93%,94%,Defect Free Care,West Central
10140,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
10140,White,96%,93%,93%,Defect Free Care,West Central
10140,Black,50%,28%,46%,Door To Needle Time Within 60 Minutes,West Central
10140,White,33%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
10140,Black,21%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10140,FL_Hispanic,100%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10140,White,23%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10140,Black,29%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10140,White,57%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10400,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10400,White,75%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10400,Black,100%,97%,98%,Early Antithrombotics (2 days),West Central
10400,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
10400,White,98%,97%,98%,Early Antithrombotics (2 days),West Central
10400,Black,100%,98%,98%,VTE Prophylaxis,West Central
10400,FL_Hispanic,91%,99%,98%,VTE Prophylaxis,West Central
10400,White,99%,98%,97%,VTE Prophylaxis,West Central
10400,Black,100%,99%,99%,Antithrombotics at discharge,West Central
10400,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
10400,White,100%,99%,99%,Antithrombotics at discharge,West Central
10400,FL_Hispanic,100%,100%,98%,Anticoagulation for AF at discharge,West Central
10400,White,98%,97%,97%,Anticoagulation for AF at discharge,West Central
10400,Black,100%,96%,98%,Statins at Discharge,West Central
10400,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
10400,White,100%,97%,97%,Statins at Discharge,West Central
10400,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
10400,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
10400,White,100%,99%,98%,Smoking Cessation Counseling,West Central
10400,Black,100%,93%,94%,Defect Free Care,West Central
10400,FL_Hispanic,91%,92%,94%,Defect Free Care,West Central
10400,White,95%,93%,93%,Defect Free Care,West Central
10400,White,31%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
10400,Black,50%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10400,FL_Hispanic,55%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10400,White,39%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10400,Black,33%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10400,White,22%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10401,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10401,FL_Hispanic,100%,94%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10401,White,83%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10401,Black,90%,97%,98%,Early Antithrombotics (2 days),West Central
10401,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
10401,White,96%,97%,98%,Early Antithrombotics (2 days),West Central
10401,Black,96%,98%,98%,VTE Prophylaxis,West Central
10401,FL_Hispanic,93%,99%,98%,VTE Prophylaxis,West Central
10401,White,97%,98%,97%,VTE Prophylaxis,West Central
10401,Black,100%,99%,99%,Antithrombotics at discharge,West Central
10401,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
10401,White,100%,99%,99%,Antithrombotics at discharge,West Central
10401,Black,100%,95%,97%,Anticoagulation for AF at discharge,West Central
10401,FL_Hispanic,100%,100%,98%,Anticoagulation for AF at discharge,West Central
10401,White,96%,97%,97%,Anticoagulation for AF at discharge,West Central
10401,Black,85%,96%,98%,Statins at Discharge,West Central
10401,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
10401,White,96%,97%,97%,Statins at Discharge,West Central
10401,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
10401,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
10401,White,100%,99%,98%,Smoking Cessation Counseling,West Central
