Hospital_ID,sex,Percent_Hospital,Percent_Region,Percent_State,outcome,Region
10140,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10140,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10140,Female,98%,97%,98%,Early Antithrombotics (2 days),West Central
10140,Male,96%,98%,98%,Early Antithrombotics (2 days),West Central
10140,Female,100%,98%,98%,VTE Prophylaxis,West Central
10140,Male,98%,97%,98%,VTE Prophylaxis,West Central
10140,Female,98%,99%,99%,Antithrombotics at discharge,West Central
10140,Male,100%,99%,99%,Antithrombotics at discharge,West Central
10140,Female,89%,97%,97%,Anticoagulation for AF at discharge,West Central
10140,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
10140,Female,97%,96%,97%,Statins at Discharge,West Central
10140,Male,98%,98%,98%,Statins at Discharge,West Central
10140,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
10140,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
10140,Female,94%,92%,93%,Defect Free Care,West Central
10140,Male,94%,93%,93%,Defect Free Care,West Central
10140,Female,20%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
10140,Male,50%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
10140,Female,25%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10140,Male,20%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10140,Female,53%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10140,Male,46%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10400,Female,78%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10400,Male,75%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10400,Female,97%,97%,98%,Early Antithrombotics (2 days),West Central
10400,Male,99%,98%,98%,Early Antithrombotics (2 days),West Central
10400,Female,100%,98%,98%,VTE Prophylaxis,West Central
10400,Male,98%,97%,98%,VTE Prophylaxis,West Central
10400,Female,100%,99%,99%,Antithrombotics at discharge,West Central
