id,Black,FL_Hispanic,PR_Hispanic,White
10140,52,1,0,87
10400,8,12,0,256
10401,24,15,0,272
10720,52,1,0,221
13705,24,2,0,49
13710,10,123,0,9
13732,116,12,0,122
13742,1,8,0,77
13779,98,19,0,8
13781,23,3,0,142
13782,25,405,0,14
13811,28,19,0,68
13815,2,54,0,2
13819,38,16,0,329
13862,132,14,0,12
14462,57,3,0,157
14562,8,0,0,74
14842,3,6,0,168
14942,105,35,0,274
15144,1,6,0,124
15322,19,11,0,156
15563,60,9,0,136
15823,0,1,0,29
16462,85,450,0,175
17962,148,108,0,307
18185,59,1,0,199
20889,2,2,0,86
20908,46,14,0,234
22282,77,79,0,44
22865,34,24,0,320
25382,45,2,0,211
27785,15,2,0,165
29944,13,7,0,107
29984,113,47,0,204
31167,6,3,0,168
31190,27,102,0,101
31193,4,1,0,95
31228,47,2,0,84
32647,75,12,0,127
33568,28,11,0,192
33607,2,14,0,185
34227,24,10,0,135
34271,5,1,0,79
35507,28,8,0,399
37214,140,12,0,101
37454,39,24,0,154
37474,8,1,0,12
37475,6,15,0,84
37476,14,16,0,102
37494,195,89,0,518
37495,16,54,0,113
37496,5,29,0,36
37556,17,5,0,65
37818,0,0,465,0
37896,109,12,0,398
40934,7,1,0,76
43254,0,0,68,0
45054,0,0,88,0
47534,4,2,0,101
47874,0,0,0,7
51154,0,0,195,0
57095,41,38,0,46
57242,42,12,0,51
65056,68,34,0,93
65695,18,18,0,272
69905,0,0,52,0
71305,0,0,63,0
72828,0,0,22,0
75346,0,0,22,0
77089,0,0,82,0
